origen,lon_origen,lat_origen,destino,lon_destino,lat_destino,year,num_migrantes
AFRICA,17,8,AFRICA,17,8,1990,13431488
ASIA,95,35,AFRICA,17,8,1990,492107
EUROPE,15,52,AFRICA,17,8,1990,622122
LATIN AMERICA AND THE CARIBBEAN,-85,15,AFRICA,17,8,1990,10188
NORTHERN AMERICA,-100,45,AFRICA,17,8,1990,58134
OCEANIA,135,-20,AFRICA,17,8,1990,9090
AFRICA,17,8,ASIA,95,35,1990,1777604
ASIA,95,35,ASIA,95,35,1990,35481900
EUROPE,15,52,ASIA,95,35,1990,7632934
LATIN AMERICA AND THE CARIBBEAN,-85,15,ASIA,95,35,1990,118597
NORTHERN AMERICA,-100,45,ASIA,95,35,1990,239176
OCEANIA,135,-20,ASIA,95,35,1990,43560
AFRICA,17,8,EUROPE,15,52,1990,4682594
ASIA,95,35,EUROPE,15,52,1990,13453956
EUROPE,15,52,EUROPE,15,52,1990,28367362
LATIN AMERICA AND THE CARIBBEAN,-85,15,EUROPE,15,52,1990,1104536
NORTHERN AMERICA,-100,45,EUROPE,15,52,1990,769469
OCEANIA,135,-20,EUROPE,15,52,1990,191405
AFRICA,17,8,LATIN AMERICA AND THE CARIBBEAN,-85,15,1990,19192
ASIA,95,35,LATIN AMERICA AND THE CARIBBEAN,-85,15,1990,263267
EUROPE,15,52,LATIN AMERICA AND THE CARIBBEAN,-85,15,1990,1817209
LATIN AMERICA AND THE CARIBBEAN,-85,15,LATIN AMERICA AND THE CARIBBEAN,-85,15,1990,3980808
NORTHERN AMERICA,-100,45,LATIN AMERICA AND THE CARIBBEAN,-85,15,1990,602762
OCEANIA,135,-20,LATIN AMERICA AND THE CARIBBEAN,-85,15,1990,2552
AFRICA,17,8,NORTHERN AMERICA,-100,45,1990,548628
ASIA,95,35,NORTHERN AMERICA,-100,45,1990,6181878
EUROPE,15,52,NORTHERN AMERICA,-100,45,1990,6645283
LATIN AMERICA AND THE CARIBBEAN,-85,15,NORTHERN AMERICA,-100,45,1990,9976169
NORTHERN AMERICA,-100,45,NORTHERN AMERICA,-100,45,1990,999977
OCEANIA,135,-20,NORTHERN AMERICA,-100,45,1990,135857
AFRICA,17,8,OCEANIA,135,-20,1990,161958
ASIA,95,35,OCEANIA,135,-20,1990,1083892
EUROPE,15,52,OCEANIA,135,-20,1990,2645368
LATIN AMERICA AND THE CARIBBEAN,-85,15,OCEANIA,135,-20,1990,83101
NORTHERN AMERICA,-100,45,OCEANIA,135,-20,1990,132617
OCEANIA,135,-20,OCEANIA,135,-20,1990,579083
AFRICA,17,8,AFRICA,17,8,1995,14179992
ASIA,95,35,AFRICA,17,8,1995,567843
EUROPE,15,52,AFRICA,17,8,1995,539020
LATIN AMERICA AND THE CARIBBEAN,-85,15,AFRICA,17,8,1995,9417
NORTHERN AMERICA,-100,45,AFRICA,17,8,1995,47102
OCEANIA,135,-20,AFRICA,17,8,1995,7074
AFRICA,17,8,ASIA,95,35,1995,1953253
ASIA,95,35,ASIA,95,35,1995,34096664
EUROPE,15,52,ASIA,95,35,1995,6995360
LATIN AMERICA AND THE CARIBBEAN,-85,15,ASIA,95,35,1995,291724
NORTHERN AMERICA,-100,45,ASIA,95,35,1995,277759
OCEANIA,135,-20,ASIA,95,35,1995,47408
AFRICA,17,8,EUROPE,15,52,1995,5179831
ASIA,95,35,EUROPE,15,52,1995,14667430
EUROPE,15,52,EUROPE,15,52,1995,29988843
LATIN AMERICA AND THE CARIBBEAN,-85,15,EUROPE,15,52,1995,1340812
NORTHERN AMERICA,-100,45,EUROPE,15,52,1995,743008
OCEANIA,135,-20,EUROPE,15,52,1995,222969
AFRICA,17,8,LATIN AMERICA AND THE CARIBBEAN,-85,15,1995,19478
ASIA,95,35,LATIN AMERICA AND THE CARIBBEAN,-85,15,1995,258892
EUROPE,15,52,LATIN AMERICA AND THE CARIBBEAN,-85,15,1995,1600698
LATIN AMERICA AND THE CARIBBEAN,-85,15,LATIN AMERICA AND THE CARIBBEAN,-85,15,1995,3670383
NORTHERN AMERICA,-100,45,LATIN AMERICA AND THE CARIBBEAN,-85,15,1995,688958
OCEANIA,135,-20,LATIN AMERICA AND THE CARIBBEAN,-85,15,1995,2912
AFRICA,17,8,NORTHERN AMERICA,-100,45,1995,826822
ASIA,95,35,NORTHERN AMERICA,-100,45,1995,8290114
EUROPE,15,52,NORTHERN AMERICA,-100,45,1995,6859869
LATIN AMERICA AND THE CARIBBEAN,-85,15,NORTHERN AMERICA,-100,45,1995,14269456
NORTHERN AMERICA,-100,45,NORTHERN AMERICA,-100,45,1995,1054522
OCEANIA,135,-20,NORTHERN AMERICA,-100,45,1995,175797
AFRICA,17,8,OCEANIA,135,-20,1995,182018
ASIA,95,35,OCEANIA,135,-20,1995,1266979
EUROPE,15,52,OCEANIA,135,-20,1995,2652213
LATIN AMERICA AND THE CARIBBEAN,-85,15,OCEANIA,135,-20,1995,87912
NORTHERN AMERICA,-100,45,OCEANIA,135,-20,1995,134812
OCEANIA,135,-20,OCEANIA,135,-20,1995,615135
AFRICA,17,8,AFRICA,17,8,2000,12753079
ASIA,95,35,AFRICA,17,8,2000,681816
EUROPE,15,52,AFRICA,17,8,2000,533653
LATIN AMERICA AND THE CARIBBEAN,-85,15,AFRICA,17,8,2000,9501
NORTHERN AMERICA,-100,45,AFRICA,17,8,2000,40167
OCEANIA,135,-20,AFRICA,17,8,2000,6457
AFRICA,17,8,ASIA,95,35,2000,2164626
ASIA,95,35,ASIA,95,35,2000,36924433
EUROPE,15,52,ASIA,95,35,2000,6445653
LATIN AMERICA AND THE CARIBBEAN,-85,15,ASIA,95,35,2000,407595
NORTHERN AMERICA,-100,45,ASIA,95,35,2000,324065
OCEANIA,135,-20,ASIA,95,35,2000,58045
AFRICA,17,8,EUROPE,15,52,2000,5797189
ASIA,95,35,EUROPE,15,52,2000,15541563
EUROPE,15,52,EUROPE,15,52,2000,31590963
LATIN AMERICA AND THE CARIBBEAN,-85,15,EUROPE,15,52,2000,1699981
NORTHERN AMERICA,-100,45,EUROPE,15,52,2000,735943
OCEANIA,135,-20,EUROPE,15,52,2000,259848
AFRICA,17,8,LATIN AMERICA AND THE CARIBBEAN,-85,15,2000,20285
ASIA,95,35,LATIN AMERICA AND THE CARIBBEAN,-85,15,2000,258933
EUROPE,15,52,LATIN AMERICA AND THE CARIBBEAN,-85,15,2000,1396387
LATIN AMERICA AND THE CARIBBEAN,-85,15,LATIN AMERICA AND THE CARIBBEAN,-85,15,2000,3777576
NORTHERN AMERICA,-100,45,LATIN AMERICA AND THE CARIBBEAN,-85,15,2000,796397
OCEANIA,135,-20,LATIN AMERICA AND THE CARIBBEAN,-85,15,2000,3400
AFRICA,17,8,NORTHERN AMERICA,-100,45,2000,1115964
ASIA,95,35,NORTHERN AMERICA,-100,45,2000,10466666
EUROPE,15,52,NORTHERN AMERICA,-100,45,2000,7126994
LATIN AMERICA AND THE CARIBBEAN,-85,15,NORTHERN AMERICA,-100,45,2000,18644817
NORTHERN AMERICA,-100,45,NORTHERN AMERICA,-100,45,2000,1113881
OCEANIA,135,-20,NORTHERN AMERICA,-100,45,2000,217378
AFRICA,17,8,OCEANIA,135,-20,2000,228860
ASIA,95,35,OCEANIA,135,-20,2000,1460202
EUROPE,15,52,OCEANIA,135,-20,2000,2634134
LATIN AMERICA AND THE CARIBBEAN,-85,15,OCEANIA,135,-20,2000,89230
NORTHERN AMERICA,-100,45,OCEANIA,135,-20,2000,139466
OCEANIA,135,-20,OCEANIA,135,-20,2000,701708
AFRICA,17,8,AFRICA,17,8,2005,13411177
ASIA,95,35,AFRICA,17,8,2005,789396
EUROPE,15,52,AFRICA,17,8,2005,617032
LATIN AMERICA AND THE CARIBBEAN,-85,15,AFRICA,17,8,2005,10748
NORTHERN AMERICA,-100,45,AFRICA,17,8,2005,45155
OCEANIA,135,-20,AFRICA,17,8,2005,8018
AFRICA,17,8,ASIA,95,35,2005,2335304
ASIA,95,35,ASIA,95,35,2005,40867887
EUROPE,15,52,ASIA,95,35,2005,6408006
LATIN AMERICA AND THE CARIBBEAN,-85,15,ASIA,95,35,2005,394800
NORTHERN AMERICA,-100,45,ASIA,95,35,2005,382401
OCEANIA,135,-20,ASIA,95,35,2005,70300
AFRICA,17,8,EUROPE,15,52,2005,7620545
ASIA,95,35,EUROPE,15,52,2005,16825888
EUROPE,15,52,EUROPE,15,52,2005,33415975
LATIN AMERICA AND THE CARIBBEAN,-85,15,EUROPE,15,52,2005,3453004
NORTHERN AMERICA,-100,45,EUROPE,15,52,2005,824591
OCEANIA,135,-20,EUROPE,15,52,2005,284743
AFRICA,17,8,LATIN AMERICA AND THE CARIBBEAN,-85,15,2005,21850
ASIA,95,35,LATIN AMERICA AND THE CARIBBEAN,-85,15,2005,264943
EUROPE,15,52,LATIN AMERICA AND THE CARIBBEAN,-85,15,2005,1248692
LATIN AMERICA AND THE CARIBBEAN,-85,15,LATIN AMERICA AND THE CARIBBEAN,-85,15,2005,4357513
NORTHERN AMERICA,-100,45,LATIN AMERICA AND THE CARIBBEAN,-85,15,2005,967044
OCEANIA,135,-20,LATIN AMERICA AND THE CARIBBEAN,-85,15,2005,3585
AFRICA,17,8,NORTHERN AMERICA,-100,45,2005,1524859
ASIA,95,35,NORTHERN AMERICA,-100,45,2005,12195799
EUROPE,15,52,NORTHERN AMERICA,-100,45,2005,6988925
LATIN AMERICA AND THE CARIBBEAN,-85,15,NORTHERN AMERICA,-100,45,2005,21019256
NORTHERN AMERICA,-100,45,NORTHERN AMERICA,-100,45,2005,1132443
OCEANIA,135,-20,NORTHERN AMERICA,-100,45,2005,230353
AFRICA,17,8,OCEANIA,135,-20,2005,327671
ASIA,95,35,OCEANIA,135,-20,2005,1862130
EUROPE,15,52,OCEANIA,135,-20,2005,2658354
LATIN AMERICA AND THE CARIBBEAN,-85,15,OCEANIA,135,-20,2005,102885
NORTHERN AMERICA,-100,45,OCEANIA,135,-20,2005,160472
OCEANIA,135,-20,OCEANIA,135,-20,2005,794419
AFRICA,17,8,AFRICA,17,8,2010,14571247
ASIA,95,35,AFRICA,17,8,2010,896987
EUROPE,15,52,AFRICA,17,8,2010,604211
LATIN AMERICA AND THE CARIBBEAN,-85,15,AFRICA,17,8,2010,19077
NORTHERN AMERICA,-100,45,AFRICA,17,8,2010,46499
OCEANIA,135,-20,AFRICA,17,8,2010,12023
AFRICA,17,8,ASIA,95,35,2010,3426719
ASIA,95,35,ASIA,95,35,2010,51825389
EUROPE,15,52,ASIA,95,35,2010,6444826
LATIN AMERICA AND THE CARIBBEAN,-85,15,ASIA,95,35,2010,426361
NORTHERN AMERICA,-100,45,ASIA,95,35,2010,468106
OCEANIA,135,-20,ASIA,95,35,2010,88244
AFRICA,17,8,EUROPE,15,52,2010,8748280
ASIA,95,35,EUROPE,15,52,2010,18287405
EUROPE,15,52,EUROPE,15,52,2010,36683624
LATIN AMERICA AND THE CARIBBEAN,-85,15,EUROPE,15,52,2010,4581301
NORTHERN AMERICA,-100,45,EUROPE,15,52,2010,921685
OCEANIA,135,-20,EUROPE,15,52,2010,323142
AFRICA,17,8,LATIN AMERICA AND THE CARIBBEAN,-85,15,2010,27847
ASIA,95,35,LATIN AMERICA AND THE CARIBBEAN,-85,15,2010,285869
EUROPE,15,52,LATIN AMERICA AND THE CARIBBEAN,-85,15,2010,1147896
LATIN AMERICA AND THE CARIBBEAN,-85,15,LATIN AMERICA AND THE CARIBBEAN,-85,15,2010,5344184
NORTHERN AMERICA,-100,45,LATIN AMERICA AND THE CARIBBEAN,-85,15,2010,1198308
OCEANIA,135,-20,LATIN AMERICA AND THE CARIBBEAN,-85,15,2010,4249
AFRICA,17,8,NORTHERN AMERICA,-100,45,2010,1984391
ASIA,95,35,NORTHERN AMERICA,-100,45,2010,14250937
EUROPE,15,52,NORTHERN AMERICA,-100,45,2010,7081741
LATIN AMERICA AND THE CARIBBEAN,-85,15,NORTHERN AMERICA,-100,45,2010,24134573
NORTHERN AMERICA,-100,45,NORTHERN AMERICA,-100,45,2010,1149471
OCEANIA,135,-20,NORTHERN AMERICA,-100,45,2010,245006
AFRICA,17,8,OCEANIA,135,-20,2010,435368
ASIA,95,35,OCEANIA,135,-20,2010,2575590
EUROPE,15,52,OCEANIA,135,-20,2010,2749003
LATIN AMERICA AND THE CARIBBEAN,-85,15,OCEANIA,135,-20,2010,132154
NORTHERN AMERICA,-100,45,OCEANIA,135,-20,2010,185734
OCEANIA,135,-20,OCEANIA,135,-20,2010,918504
AFRICA,17,8,AFRICA,17,8,2015,18200172
ASIA,95,35,AFRICA,17,8,2015,1078578
EUROPE,15,52,AFRICA,17,8,2015,581876
LATIN AMERICA AND THE CARIBBEAN,-85,15,AFRICA,17,8,2015,29928
NORTHERN AMERICA,-100,45,AFRICA,17,8,2015,47055
OCEANIA,135,-20,AFRICA,17,8,2015,12521
AFRICA,17,8,ASIA,95,35,2015,4166307
ASIA,95,35,ASIA,95,35,2015,61654516
EUROPE,15,52,ASIA,95,35,2015,6573735
LATIN AMERICA AND THE CARIBBEAN,-85,15,ASIA,95,35,2015,376798
NORTHERN AMERICA,-100,45,ASIA,95,35,2015,496804
OCEANIA,135,-20,ASIA,95,35,2015,92431
AFRICA,17,8,EUROPE,15,52,2015,9536606
ASIA,95,35,EUROPE,15,52,2015,19797557
EUROPE,15,52,EUROPE,15,52,2015,38418244
LATIN AMERICA AND THE CARIBBEAN,-85,15,EUROPE,15,52,2015,4487571
NORTHERN AMERICA,-100,45,EUROPE,15,52,2015,972405
OCEANIA,135,-20,EUROPE,15,52,2015,348242
AFRICA,17,8,LATIN AMERICA AND THE CARIBBEAN,-85,15,2015,39533
ASIA,95,35,LATIN AMERICA AND THE CARIBBEAN,-85,15,2015,341807
EUROPE,15,52,LATIN AMERICA AND THE CARIBBEAN,-85,15,2015,1291715
LATIN AMERICA AND THE CARIBBEAN,-85,15,LATIN AMERICA AND THE CARIBBEAN,-85,15,2015,6166726
NORTHERN AMERICA,-100,45,LATIN AMERICA AND THE CARIBBEAN,-85,15,2015,1182133
OCEANIA,135,-20,LATIN AMERICA AND THE CARIBBEAN,-85,15,2015,4723
AFRICA,17,8,NORTHERN AMERICA,-100,45,2015,2663579
ASIA,95,35,NORTHERN AMERICA,-100,45,2015,17273538
EUROPE,15,52,NORTHERN AMERICA,-100,45,2015,6926249
LATIN AMERICA AND THE CARIBBEAN,-85,15,NORTHERN AMERICA,-100,45,2015,24980329
NORTHERN AMERICA,-100,45,NORTHERN AMERICA,-100,45,2015,1100000
OCEANIA,135,-20,NORTHERN AMERICA,-100,45,2015,280255
AFRICA,17,8,OCEANIA,135,-20,2015,505762
ASIA,95,35,OCEANIA,135,-20,2015,3232023
EUROPE,15,52,OCEANIA,135,-20,2015,2785934
LATIN AMERICA AND THE CARIBBEAN,-85,15,OCEANIA,135,-20,2015,164648
NORTHERN AMERICA,-100,45,OCEANIA,135,-20,2015,216252
OCEANIA,135,-20,OCEANIA,135,-20,2015,1013250
AFRICA,17,8,AFRICA,17,8,2020,20917565
ASIA,95,35,AFRICA,17,8,2020,1207631
EUROPE,15,52,AFRICA,17,8,2020,648455
LATIN AMERICA AND THE CARIBBEAN,-85,15,AFRICA,17,8,2020,32524
NORTHERN AMERICA,-100,45,AFRICA,17,8,2020,53563
OCEANIA,135,-20,AFRICA,17,8,2020,14483
AFRICA,17,8,ASIA,95,35,2020,4720103
ASIA,95,35,ASIA,95,35,2020,68497762
EUROPE,15,52,ASIA,95,35,2020,7169630
LATIN AMERICA AND THE CARIBBEAN,-85,15,ASIA,95,35,2020,414658
NORTHERN AMERICA,-100,45,ASIA,95,35,2020,538199
OCEANIA,135,-20,ASIA,95,35,2020,101725
AFRICA,17,8,EUROPE,15,52,2020,11024274
ASIA,95,35,EUROPE,15,52,2020,23203976
EUROPE,15,52,EUROPE,15,52,2020,44246425
LATIN AMERICA AND THE CARIBBEAN,-85,15,EUROPE,15,52,2020,5395924
NORTHERN AMERICA,-100,45,EUROPE,15,52,2020,1100304
OCEANIA,135,-20,EUROPE,15,52,2020,397036
AFRICA,17,8,LATIN AMERICA AND THE CARIBBEAN,-85,15,2020,48791
ASIA,95,35,LATIN AMERICA AND THE CARIBBEAN,-85,15,2020,402369
EUROPE,15,52,LATIN AMERICA AND THE CARIBBEAN,-85,15,2020,1355886
LATIN AMERICA AND THE CARIBBEAN,-85,15,LATIN AMERICA AND THE CARIBBEAN,-85,15,2020,11297173
NORTHERN AMERICA,-100,45,LATIN AMERICA AND THE CARIBBEAN,-85,15,2020,1293053
OCEANIA,135,-20,LATIN AMERICA AND THE CARIBBEAN,-85,15,2020,5630
AFRICA,17,8,NORTHERN AMERICA,-100,45,2020,3268757
ASIA,95,35,NORTHERN AMERICA,-100,45,2020,17549235
EUROPE,15,52,NORTHERN AMERICA,-100,45,2020,6869872
LATIN AMERICA AND THE CARIBBEAN,-85,15,NORTHERN AMERICA,-100,45,2020,25535633
NORTHERN AMERICA,-100,45,NORTHERN AMERICA,-100,45,2020,1088520
OCEANIA,135,-20,NORTHERN AMERICA,-100,45,2020,343625
AFRICA,17,8,OCEANIA,135,-20,2020,587673
ASIA,95,35,OCEANIA,135,-20,2020,4050511
EUROPE,15,52,OCEANIA,135,-20,2020,2983395
LATIN AMERICA AND THE CARIBBEAN,-85,15,OCEANIA,135,-20,2020,214569
NORTHERN AMERICA,-100,45,OCEANIA,135,-20,2020,254319
OCEANIA,135,-20,OCEANIA,135,-20,2020,1107706
